Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,21.079500,21.995199,20.998501,21.297501,18.690855,2841152
2015-01-05,20.849001,21.490601,20.693300,21.023399,18.466606,2545446
2015-01-06,21.148001,21.584000,20.855200,21.584000,18.959028,1592670
2015-01-07,21.727301,22.736500,21.415899,22.537100,19.796211,1617713
2015-01-08,22.431200,22.854799,22.113501,22.587000,19.840044,787265
2015-01-09,22.549601,22.643000,21.552900,21.795799,19.145067,1379800
2015-01-12,21.546700,21.864401,21.241400,21.428301,18.822262,4804979
2015-01-13,21.365999,21.976500,21.210300,21.210300,18.630775,1269352
2015-01-14,21.116899,21.964001,20.992300,21.459499,18.849663,1099506
2015-01-15,21.459499,22.138500,21.303699,21.303699,18.712812,1496509
2015-01-16,21.397200,21.665001,21.204100,21.359800,18.762098,1234676
2015-01-19,21.085699,21.484400,20.581200,20.799200,18.269670,958556
2015-01-20,21.210300,21.247700,20.631001,20.631001,18.121929,835746
2015-01-21,20.867701,21.702400,20.631001,21.584000,18.959028,1478208
2015-01-22,21.957800,22.300400,21.365999,21.534201,18.915285,1424589
2015-01-23,21.957800,22.300400,21.104401,21.328600,18.734686,891934
2015-01-26,20.936199,21.646299,20.936199,21.565399,18.942684,1420255
2015-01-27,21.191601,21.802099,20.973600,21.802099,19.150600,2112964
2015-01-28,21.465700,21.851900,21.154200,21.309999,18.718349,1170462
2015-01-29,21.334900,21.652599,20.799200,21.154200,18.581493,2179587
2015-01-30,20.599800,20.961100,20.481501,20.867701,18.329840,2744992
2015-02-02,21.179100,21.434500,20.568701,21.397200,18.794943,1202730
2015-02-03,22.051201,22.051201,21.615200,21.739799,19.112684,1534074
2015-02-04,21.914200,22.337799,21.540400,21.989000,19.331770,1479974
2015-02-05,21.739799,22.094801,21.696199,21.895500,19.249577,1207546
2015-02-06,21.627600,22.001400,21.365999,21.926600,19.276917,1083131
2015-02-09,21.827000,21.976500,21.696199,21.901699,19.255028,2590396
2015-02-10,21.652599,22.038799,21.484400,21.484400,19.012423,1426195
2015-02-11,21.334900,21.577801,21.048300,21.222799,18.780914,1395051
2015-02-12,21.478100,22.150900,21.478100,22.150900,19.602236,1385740
2015-02-13,21.883101,22.630600,21.777100,22.468599,19.883371,1260844
2015-02-18,22.979401,23.116400,22.424999,22.711500,20.098333,2219560
2015-02-19,22.543301,23.079100,22.468599,22.680401,20.070808,465231
2015-02-20,22.699100,22.786301,22.362700,22.568300,19.971609,653699
2015-02-23,22.275499,22.973200,22.250601,22.805000,20.181070,684683
2015-02-24,22.985600,23.166300,22.599400,23.166300,20.500795,1014101
2015-02-25,22.854799,23.533800,22.742701,23.533800,20.826017,929820
2015-02-26,23.658400,23.658400,23.016800,23.240999,20.566902,1315747
2015-02-27,23.359400,24.094400,23.197399,23.259701,20.583458,2208322
2015-03-02,23.253500,23.459000,22.549601,22.761400,20.142494,1706008
2015-03-03,22.848600,22.873501,22.524700,22.798700,20.190798,873954
2015-03-04,22.431200,22.873501,22.431200,22.599400,20.014297,1550610
2015-03-05,22.711500,22.829901,22.275499,22.424999,19.859848,1643399
2015-03-06,22.424999,22.562000,21.901699,22.138500,19.606121,1506623
2015-03-09,21.870600,21.945299,21.677500,21.858101,19.357796,2497125
2015-03-10,21.328600,21.926600,21.328600,21.397200,18.949612,2721553
2015-03-11,21.627600,21.951599,21.428301,21.833200,19.335741,1693968
2015-03-12,22.325300,22.350201,21.179100,21.334900,18.894442,1411426
2015-03-13,20.724400,21.297501,20.724400,21.091900,18.679239,1398422
2015-03-16,21.116899,21.447001,21.116899,21.241400,18.811636,1064991
2015-03-17,21.365999,22.362700,21.266399,22.175800,19.639158,2722356
2015-03-18,22.231899,23.371799,21.951599,23.290800,20.626608,1882596
2015-03-19,23.259701,23.259701,22.530899,22.867300,20.251558,613887
2015-03-20,23.265900,23.546200,23.035400,23.147600,20.499798,2894771
2015-03-23,23.047899,23.533800,23.047899,23.091499,20.450108,800429
2015-03-24,23.116400,23.527500,22.742701,23.035400,20.400429,834623
2015-03-25,23.228500,23.284599,22.848600,23.047899,20.411493,1644362
2015-03-26,22.861000,23.004299,22.238100,22.474800,19.903944,1698623
2015-03-27,22.350201,22.574499,21.528000,21.632601,19.158092,3457126
2015-03-30,21.774700,22.148399,21.528000,22.028799,19.508966,1728028
2015-03-31,21.797100,22.731501,21.797100,22.522200,19.945929,1985419
2015-04-01,22.836100,23.606001,22.738899,23.284599,20.621119,1803881
2015-04-02,23.336901,23.920000,23.336901,23.770500,21.067038,1416456
2015-04-06,24.219000,24.219000,23.531300,23.792900,21.086891,1407492
2015-04-07,23.733101,23.979799,23.471500,23.628500,20.941183,786756
2015-04-08,24.017200,24.196600,23.807899,23.815300,21.106750,1674248
2015-04-09,23.635900,23.822800,23.067801,23.322001,20.669552,1287359
2015-04-10,23.082800,23.628500,23.052900,23.508900,20.835199,966021
2015-04-13,23.456499,23.815300,23.224800,23.471500,20.802048,1207225
2015-04-14,23.733101,23.733101,23.023001,23.232300,20.590052,1950503
2015-04-15,23.396700,23.411699,23.023001,23.322001,20.669552,2194516
2015-04-16,23.306999,23.306999,23.000601,23.292101,20.643051,1099265
2015-04-17,22.985600,23.157499,22.596901,22.634300,20.060064,1097526
2015-04-20,22.671700,22.873501,22.185801,22.529600,19.967276,762676
2015-04-22,22.641800,23.180000,22.492300,23.060400,20.437702,1187292
2015-04-23,22.978100,23.284599,22.686600,23.142599,20.510559,3094182
2015-04-24,23.254700,23.501400,23.023001,23.060400,20.437702,2578731
2015-04-27,23.052900,23.351900,22.821199,22.828600,20.232271,1968429
2015-04-28,23.239799,23.239799,22.417500,22.604401,20.033571,4097260
2015-04-29,22.753901,22.753901,22.133499,22.484800,19.927574,2787828
2015-04-30,22.275499,22.738899,22.140900,22.454901,19.901068,1967627
2015-05-04,22.544600,23.015499,22.305401,22.305401,19.768579,2691908
2015-05-05,22.297899,22.746401,22.058701,22.619301,20.062290,1294449
2015-05-06,22.357700,22.753901,21.961500,22.283001,19.764002,1758797
2015-05-07,22.088600,22.365200,21.969000,22.365200,19.836914,1102074
2015-05-08,22.649200,22.649200,22.013901,22.140900,19.637970,903412
2015-05-11,22.342800,22.387600,21.976500,22.088600,19.591585,1475586
2015-05-12,21.961500,22.193300,21.729799,21.886801,19.412588,812308
2015-05-13,21.752199,21.946600,21.453199,21.580299,19.140741,1037191
2015-05-14,21.684999,22.133499,21.528000,22.133499,19.631405,1252844
2015-05-15,22.163401,22.312901,21.894300,22.290400,19.770567,1095653
2015-05-18,22.290400,22.305401,21.647600,21.864401,19.392727,1618596
