Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,21.622499,22.384300,20.059900,21.388100,21.388100,475104
2015-01-05,21.388100,21.388100,20.460300,20.704500,20.704500,2406445
2015-01-06,20.558001,21.456499,20.450600,20.763100,20.763100,2323916
2015-01-07,20.880301,20.929100,20.313900,20.558001,20.558001,374145
2015-01-08,20.499399,20.499399,19.532600,19.884100,19.884100,426877
2015-01-09,19.825500,20.059900,19.610701,19.923201,19.923201,236631
2015-01-12,19.688801,19.991600,19.219999,19.434900,19.434900,228644
2015-01-13,19.727900,19.913401,19.317699,19.552099,19.552099,221579
2015-01-14,19.542299,19.864599,18.331301,19.337200,19.337200,514321
2015-01-15,19.210300,19.600901,18.868401,19.415300,19.415300,389094
2015-01-16,19.239599,19.571600,18.985600,19.552099,19.552099,386534
2015-01-19,19.493500,19.669300,19.278601,19.298201,19.298201,947137
2015-01-20,19.434900,19.542299,19.219999,19.473900,19.473900,260591
2015-01-21,19.337200,20.128300,19.317699,20.118500,20.118500,272468
2015-01-22,20.020901,21.651800,20.011101,21.563900,21.563900,354690
2015-01-23,21.554199,22.394100,21.505301,22.276899,22.276899,371175
2015-01-26,22.276899,22.423401,21.505301,22.423401,22.423401,261819
2015-01-27,22.179199,22.364799,21.290501,21.583500,21.583500,251785
2015-01-28,21.339300,21.788601,20.938900,21.681101,21.681101,168539
2015-01-29,21.456499,22.364799,20.938900,22.267099,22.267099,262639
2015-01-30,22.042500,22.657700,21.573700,22.081499,22.081499,400357
2015-02-02,22.667500,22.745600,22.286600,22.491699,22.491699,243593
2015-02-03,22.706600,22.950701,21.730000,22.237801,22.237801,271342
2015-02-04,22.608900,22.950701,21.974100,22.462400,22.462400,249225
2015-02-05,22.247601,22.384300,21.788601,22.052200,22.052200,173454
2015-02-06,21.690901,22.042500,20.743601,21.319799,21.319799,208985
2015-02-09,20.919399,21.427200,20.558001,21.427200,21.427200,409061
2015-02-10,21.437000,21.524900,20.147800,20.509199,20.509199,235607
2015-02-11,20.411501,20.411501,19.102800,19.405600,19.405600,386739
2015-02-12,19.356800,19.444700,18.458300,19.083300,19.083300,499167
2015-02-13,19.181000,19.815800,18.722000,19.464199,19.464199,251580
2015-02-18,19.845100,20.499399,19.845100,20.118500,20.118500,123793
2015-02-19,20.216200,20.890100,19.532600,20.518900,20.518900,295302
2015-02-20,20.548201,20.587299,19.942699,20.099001,20.099001,169358
2015-02-23,19.854799,20.147800,19.395800,19.727900,19.727900,301958
2015-02-24,19.356800,20.147800,19.356800,19.532600,19.532600,327965
2015-02-25,19.591101,19.649700,18.839100,19.337200,19.337200,224036
2015-02-26,19.395800,19.727900,19.327499,19.532600,19.532600,282093
2015-02-27,19.532600,20.411501,19.464199,19.532600,19.532600,564596
2015-03-02,19.727900,19.893900,19.405600,19.405600,19.405600,406399
2015-03-03,19.679001,20.528700,19.464199,19.483700,19.483700,577088
2015-03-04,19.483700,20.704500,19.483700,20.704500,20.704500,360936
2015-03-05,20.636101,20.978001,19.786501,19.874399,19.874399,614154
2015-03-06,20.040400,20.108801,19.669300,19.874399,19.874399,283732
2015-03-09,19.679001,19.942699,19.620399,19.874399,19.874399,303596
2015-03-10,19.542299,19.688801,18.546200,19.102800,19.102800,600331
2015-03-11,19.054001,19.259100,18.780500,19.044201,19.044201,347215
2015-03-12,19.249300,21.114700,19.249300,20.489599,20.489599,462203
2015-03-13,20.704500,21.485800,18.751200,19.952499,19.952499,688287
2015-03-16,19.532600,19.991600,18.585199,18.673100,18.673100,465070
