Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,14.970000,15.200000,14.610000,14.990000,14.990000,901900
2015-01-05,14.900000,15.010000,14.410000,14.850000,14.850000,1272500
2015-01-06,14.750000,15.210000,14.650000,15.210000,15.210000,2183500
2015-01-07,15.150000,15.330000,14.550000,14.550000,14.550000,1846900
2015-01-08,14.410000,14.650000,14.200000,14.270000,14.270000,1569500
2015-01-09,14.140000,14.330000,13.840000,14.050000,14.050000,1270300
2015-01-12,14.050000,14.400000,13.670000,14.250000,14.250000,2385300
2015-01-13,14.220000,14.630000,13.690000,13.690000,13.690000,2967400
2015-01-14,13.690000,14.040000,13.390000,13.780000,13.780000,2174300
2015-01-15,13.600000,14.200000,13.600000,14.050000,14.050000,1881800
2015-01-16,14.190000,14.500000,13.870000,14.330000,14.330000,1172200
2015-01-19,14.350000,14.350000,13.580000,13.580000,13.580000,921000
2015-01-20,13.720000,14.000000,12.830000,13.070000,13.070000,2809400
2015-01-21,13.000000,13.270000,12.810000,12.940000,12.940000,2377100
2015-01-22,13.190000,13.560000,12.850000,13.510000,13.510000,3815700
2015-01-23,13.190000,14.000000,12.850000,13.250000,13.250000,895900
2015-01-26,13.300000,13.300000,12.630000,12.690000,12.690000,1655100
2015-01-27,12.700000,12.700000,12.330000,12.550000,12.550000,589600
2015-01-28,12.470000,12.750000,12.100000,12.180000,12.180000,1579000
2015-01-29,12.280000,12.900000,12.100000,12.840000,12.840000,1327700
2015-01-30,12.600000,12.970000,12.080000,12.220000,12.220000,1993100
2015-02-02,12.200000,12.200000,11.670000,11.750000,11.750000,2372600
2015-02-03,11.810000,12.090000,11.550000,11.650000,11.650000,2389400
2015-02-04,11.730000,11.980000,11.670000,11.910000,11.910000,2200600
2015-02-05,11.870000,12.060000,11.730000,11.750000,11.750000,1227700
2015-02-06,11.620000,11.670000,10.830000,10.950000,10.950000,3080600
2015-02-09,10.980000,11.090000,10.550000,10.690000,10.690000,2280000
