Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,5.050000,5.110000,4.780000,4.790000,4.705746,3820600
2015-01-05,4.750000,4.760000,4.500000,4.500000,4.420846,4975200
2015-01-06,4.510000,4.910000,4.510000,4.720000,4.636977,9749100
2015-01-07,4.850000,5.090000,4.840000,5.000000,4.912052,7605300
2015-01-08,5.100000,5.160000,4.730000,4.750000,4.666449,9486800
2015-01-09,4.690000,4.730000,4.560000,4.560000,4.479791,6824200
2015-01-12,4.530000,4.650000,4.360000,4.380000,4.302958,6627000
2015-01-13,4.410000,4.600000,4.220000,4.220000,4.145772,10534600
2015-01-14,4.140000,4.190000,4.050000,4.090000,4.018058,10869300
2015-01-15,4.170000,4.280000,4.020000,4.090000,4.018058,8631600
2015-01-16,4.140000,4.320000,4.060000,4.240000,4.165420,7802400
2015-01-19,4.190000,4.240000,4.030000,4.100000,4.027883,5308500
2015-01-20,4.150000,4.200000,3.990000,4.000000,3.929641,8367200
2015-01-21,4.020000,4.150000,3.940000,4.080000,4.008234,8704200
2015-01-22,4.150000,4.170000,4.040000,4.070000,3.998410,9856900
2015-01-23,4.150000,4.170000,3.960000,3.990000,3.919817,5336400
2015-01-26,3.950000,3.980000,3.910000,3.980000,3.909993,4485100
2015-01-27,3.920000,3.920000,3.810000,3.890000,3.821576,6084500
2015-01-28,3.830000,3.850000,3.710000,3.750000,3.684039,5900900
2015-01-29,3.720000,3.750000,3.540000,3.550000,3.487556,6956600
2015-01-30,3.500000,3.510000,3.350000,3.350000,3.291075,9069700
2015-02-02,3.420000,3.570000,3.370000,3.480000,3.418788,7670400
2015-02-03,3.580000,3.630000,3.520000,3.550000,3.487556,6979100
2015-02-04,3.560000,3.650000,3.450000,3.500000,3.438436,5338900
2015-02-05,3.440000,3.570000,3.440000,3.520000,3.458084,7906900
2015-02-06,3.480000,3.600000,3.450000,3.540000,3.477733,5824100
2015-02-09,3.550000,3.920000,3.510000,3.850000,3.782280,12975400
2015-02-10,3.850000,4.080000,3.800000,3.880000,3.811752,14323900
2015-02-11,3.860000,4.000000,3.760000,3.960000,3.890345,8082800
2015-02-12,4.010000,4.050000,3.610000,3.660000,3.595622,17857600
2015-02-13,3.490000,3.790000,3.490000,3.600000,3.536677,19047300
2015-02-18,3.670000,3.820000,3.620000,3.750000,3.684039,8515700
2015-02-19,3.750000,3.840000,3.650000,3.770000,3.703687,7357400
2015-02-20,3.790000,4.320000,3.790000,4.070000,3.998410,22465200
2015-02-23,4.120000,4.220000,3.880000,3.880000,3.811752,14181500
2015-02-24,3.900000,4.080000,3.880000,3.900000,3.831400,8338200
2015-02-25,3.930000,4.060000,3.810000,4.060000,3.988586,9019100
2015-02-26,4.100000,4.150000,4.010000,4.030000,3.959114,8698700
2015-02-27,4.050000,4.140000,4.020000,4.130000,4.057354,9300000
2015-03-02,4.140000,4.220000,4.070000,4.150000,4.077003,10729500
2015-03-03,4.190000,4.290000,4.130000,4.290000,4.214540,7244200
2015-03-04,4.250000,4.540000,4.240000,4.440000,4.361902,14456200
2015-03-05,4.500000,4.590000,4.370000,4.450000,4.371726,20674900
2015-03-06,4.450000,4.540000,4.200000,4.420000,4.342254,11137700
2015-03-09,4.350000,4.560000,4.350000,4.540000,4.460143,8998700
2015-03-10,4.510000,4.630000,4.480000,4.540000,4.460143,12807300
2015-03-11,4.580000,4.630000,4.550000,4.630000,4.548560,6398000
2015-03-12,4.680000,4.730000,4.610000,4.650000,4.568209,5702600
2015-03-13,4.610000,4.900000,4.550000,4.860000,4.774514,8637700
2015-03-16,4.930000,4.990000,4.820000,4.890000,4.803986,8289700
2015-03-17,4.950000,5.110000,4.920000,5.100000,5.010293,9155000
2015-03-18,5.140000,5.190000,5.060000,5.070000,4.980820,6779900
2015-03-19,5.070000,5.150000,5.000000,5.140000,5.049589,6950200
2015-03-20,5.130000,5.190000,5.060000,5.080000,4.990644,5159200
2015-03-23,5.070000,5.070000,4.900000,5.000000,4.912052,6131800
2015-03-24,4.990000,5.030000,4.850000,4.850000,4.764690,6674800
2015-03-25,4.900000,5.320000,4.900000,5.170000,5.079062,15558500
2015-03-26,5.200000,5.310000,5.100000,5.190000,5.098710,8253700
2015-03-27,5.170000,5.250000,5.060000,5.140000,5.049589,7184900
2015-03-30,5.180000,5.240000,5.110000,5.120000,5.029941,3342300
2015-03-31,5.100000,5.140000,4.970000,4.970000,4.882579,6938200
2015-04-01,5.010000,5.070000,4.910000,4.910000,4.823634,9969300
2015-04-02,4.930000,5.050000,4.880000,5.000000,4.912052,4263400
2015-04-06,5.050000,5.110000,5.010000,5.050000,4.961172,3956600
2015-04-07,5.100000,5.130000,4.800000,4.800000,4.715570,8643600
2015-04-08,4.860000,4.900000,4.600000,4.600000,4.519087,10049700
2015-04-09,4.590000,4.700000,4.530000,4.630000,4.548560,7802800
2015-04-10,4.650000,4.850000,4.620000,4.850000,4.764690,5397300
2015-04-13,4.820000,4.900000,4.780000,4.830000,4.745042,4032700
2015-04-14,4.860000,4.930000,4.820000,4.910000,4.823634,3904900
2015-04-15,4.960000,5.380000,4.960000,5.270000,5.177303,14363000
2015-04-16,5.290000,5.680000,5.270000,5.480000,5.383609,11461400
2015-04-17,5.520000,5.520000,5.250000,5.250000,5.157654,7525800
2015-04-20,5.240000,5.470000,5.180000,5.410000,5.314839,5687300
2015-04-22,5.450000,5.660000,5.450000,5.620000,5.521146,7058700
2015-04-23,5.730000,6.090000,5.730000,6.000000,5.894462,9885400
2015-04-24,6.160000,6.300000,5.940000,5.980000,5.874814,8957200
2015-04-27,5.960000,6.330000,5.910000,6.240000,6.130240,8697100
2015-04-28,6.300000,6.420000,5.900000,5.930000,5.825693,12238400
2015-04-29,5.800000,6.140000,5.710000,5.950000,5.877721,8926400
2015-04-30,5.950000,6.110000,5.880000,5.970000,5.897479,7616300
2015-05-04,6.100000,6.450000,6.100000,6.400000,6.322255,6945300
2015-05-05,6.390000,6.720000,6.350000,6.650000,6.569218,7822000
2015-05-06,6.730000,7.030000,6.720000,6.970000,6.885331,18474100
2015-05-07,7.040000,7.090000,6.270000,6.270000,6.193834,15593400
2015-05-08,6.460000,6.470000,5.920000,5.940000,5.867843,17083000
2015-05-11,6.070000,6.220000,5.990000,6.070000,5.996264,8331200
2015-05-12,6.060000,6.120000,5.820000,5.900000,5.828329,7379800
2015-05-13,5.900000,5.900000,5.600000,5.610000,5.541852,8283500
2015-05-14,5.650000,5.720000,5.360000,5.490000,5.423309,11206200
2015-05-15,5.470000,5.640000,5.370000,5.450000,5.383795,5948500
2015-05-18,5.520000,5.560000,5.370000,5.450000,5.383795,7287700
2015-05-19,5.340000,5.350000,5.120000,5.250000,5.186224,8832700
2015-05-20,5.190000,5.460000,5.130000,5.360000,5.294888,7736500
2015-05-21,5.380000,5.530000,5.380000,5.400000,5.334403,6432900
2015-05-22,5.480000,5.520000,5.230000,5.300000,5.235618,6051500
2015-05-25,5.250000,5.450000,5.190000,5.300000,5.235618,3650700
2015-05-26,5.360000,5.520000,5.310000,5.460000,5.393674,7253400
2015-05-27,5.520000,5.650000,5.380000,5.410000,5.344281,6770500
2015-05-28,5.410000,5.450000,5.050000,5.140000,5.077561,13027200
2015-05-29,5.150000,5.190000,4.990000,5.100000,5.038047,11193900
2015-06-01,5.060000,5.100000,5.000000,5.050000,4.988655,6440900
2015-06-02,5.090000,5.240000,5.060000,5.160000,5.097318,7301600
2015-06-03,5.240000,5.250000,5.030000,5.040000,4.978776,10401700
2015-06-05,5.030000,5.030000,4.830000,4.910000,4.850355,7111000
2015-06-08,4.950000,4.950000,4.710000,4.770000,4.712056,10135600
2015-06-09,4.770000,4.910000,4.740000,4.810000,4.751570,3566400
2015-06-10,4.860000,4.970000,4.730000,4.780000,4.721934,7005700
2015-06-11,4.790000,4.870000,4.750000,4.820000,4.761449,5035900
2015-06-12,4.800000,4.800000,4.660000,4.700000,4.642906,9332000
2015-06-15,4.670000,4.690000,4.590000,4.670000,4.613271,3267500
2015-06-16,4.660000,4.680000,4.530000,4.600000,4.544121,6667700
2015-06-17,4.620000,4.630000,4.440000,4.450000,4.395943,6746900
2015-06-18,4.420000,4.670000,4.410000,4.650000,4.593514,7446500
2015-06-19,4.620000,4.650000,4.570000,4.650000,4.593514,3395700
2015-06-22,4.720000,4.750000,4.580000,4.580000,4.524364,4106200
2015-06-23,4.650000,4.650000,4.530000,4.530000,4.474971,3168600
2015-06-24,4.540000,4.560000,4.370000,4.400000,4.346550,5055700
2015-06-25,4.390000,4.400000,4.120000,4.240000,4.188494,10874500
2015-06-26,4.220000,4.470000,4.210000,4.350000,4.297158,6321500
2015-06-29,4.300000,4.350000,4.220000,4.320000,4.267523,4400600
2015-06-30,4.320000,4.390000,4.120000,4.120000,4.069952,11158500
2015-07-01,4.150000,4.210000,4.070000,4.090000,4.040316,6011600
2015-07-02,4.050000,4.170000,4.010000,4.110000,4.060073,6165700
2015-07-03,4.110000,4.150000,4.010000,4.030000,3.981045,3494900
2015-07-06,4.000000,4.260000,3.960000,4.180000,4.129223,7249400
2015-07-07,4.190000,4.210000,4.020000,4.170000,4.119345,9112400
2015-07-08,4.100000,4.180000,4.030000,4.030000,3.981045,6244500
2015-07-10,4.150000,4.200000,4.080000,4.100000,4.050195,4331700
2015-07-13,4.130000,4.330000,4.030000,4.330000,4.277401,8531200
2015-07-14,4.290000,4.300000,4.160000,4.270000,4.218130,6605200
2015-07-15,4.250000,4.390000,4.220000,4.300000,4.247765,6449600
2015-07-16,4.330000,4.350000,4.150000,4.150000,4.099587,4694300
2015-07-17,4.150000,4.200000,3.960000,4.000000,3.951409,8110100
2015-07-20,4.000000,4.080000,3.920000,3.950000,3.902017,4267500
2015-07-21,3.920000,4.010000,3.840000,3.840000,3.793353,5303700
2015-07-22,3.800000,3.810000,3.660000,3.740000,3.694568,8208400
2015-07-23,3.730000,3.930000,3.680000,3.870000,3.822989,8069700
2015-07-24,3.840000,4.000000,3.780000,3.840000,3.793353,6363100
2015-07-27,3.780000,3.820000,3.720000,3.740000,3.694568,4625700
2015-07-28,3.780000,4.120000,3.780000,4.050000,4.000803,12546800
2015-07-29,4.020000,4.150000,3.910000,3.930000,3.882260,6374500
2015-07-30,3.980000,4.020000,3.810000,3.850000,3.803231,4885900
