CODIGOS,ABEV3,BTOW3,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,HGTX3,CIEL3,COGN3,CSAN3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,FLRY3,GGBR4,GOAU4,GOLL4,NTCO3,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN11,RENT3,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,PETR3,PETR4,QUAL3,RADL3,SBSP3,SANB11,CSNA3,SMLS3,SULA11,TAEE11,VIVT4,TIMP3,TOTS3,UGPA3,USIM5,VALE3,WEGE3,YDUQ3
Mar-15,-4.961.812,0,-16,-1.595.871,0,-3.151.529,-3.151.529,-24,-1.512.720,-6,-463.254,-6.550,-26.313,-5,-769.680,0,0,0,0,0,-384,-384,-78.434,-1.225,-222.021,0,0,-120.888,-100.845,0,0,0,0,-1.708.000,-4.504.448,-1.189.359,0,-16.991,0,0,-2.018,0,0,0,0,0,0,-,0,-814.012,-549.829,-27.899,0,0,-1.759,-57,-19.421,-387.650,-1.068,-7.410,-267.247,-76
Jun-15,-6.589.565,0,-409.555,-1.595.871,-105.864,-3.416.771,-3.416.771,-195.502,-3.377.449,-482.074,-463.254,-107.325,-128.745,-77.842,-769.680,-88.284,-255.688,-83.000,-157.284,-248.233,-22.376,-22.376,-123.433,-44.845,-393.218,-3.069,-6.500,-208.829,-161.670,0,-449.273,0,0,-1.800.000,-4.759.231,-1.633.012,-101.982,-83.959,-133.095,-178.941,-33.485,0,-171.050,-92.955,0,0,-116.316,-,-106.985,-815.669,-549.832,-27.900,-132.289,-254.757,-1.841.617,-360.405,-143.319,-396.347,-39.295,-3.135.573,-225.873,-101.139
Set-15,-9.067.129,0,-663.799,-3.361.786,-105.864,-4.602.146,-4.602.146,-195.520,-4.506.873,-482.114,-889.113,-107.325,-128.797,-77.849,-1.365.772,-187.118,-404.230,-83.000,-157.284,-248.233,-22.602,-22.602,-153.623,-46.817,-702.889,-3.069,-16.209,-283.509,-215.096,-96.127,-685.599,0,-60.000,-2.444.000,-6.797.865,-2.134.770,-272.985,-109.742,-133.095,-178.948,-33.485,0,-171.050,-92.955,0,0,-116.316,-,-202.108,-944.755,-549.832,-265.414,-144.785,-564.799,-1.841.896,-360.426,-174.288,-831.461,-39.293,-3.135.574,-519.127,0
Dez-15,-11.490.221,0,-1.427.340,-3.361.786,-211.728,-4.875.422,-4.875.422,-318.280,-5.750.385,-482.117,-889.113,-1.080.393,-796.383,-141.995,-1.434.328,-261.407,-650.367,-98.391,-156.979,-248.233,-23.056,-23.056,-182.363,-316.051,-704.335,-186.617,-16.209,-358.226,-262.121,-136.822,-685.599,0,-60.000,-2.545.000,-7.008.406,-1.717.890,-377.995,-139.261,-133.095,-178.954,-33.484,0,-171.050,-182.957,0,0,-116.316,-121.280,-202.115,-3.991.396,-549.835,-290.965,-156.775,-756.989,-3.678.665,-360.447,-174.257,-831.654,-39.295,-5.072.360,-519.895,-101.168
Mar-16,-2.099.649,0,0,-1.672.715,0,-3.805.108,-3.805.108,-15,-274.466,-4,-663.051,0,-22.247,-7,-576.697,-70.168,-760.398,0,0,0,-30,-30,-29.742,-71.022,-312.622,-1.117,0,0,0,0,0,0,0,-2.057.000,-4.855.923,0,-120.015,-33.197,-101.873,0,0,0,0,0,0,0,0,-6,0,-2.799.091,0,0,0,0,-360,-29,-31.284,-432.721,-2,-17.159,-284.856,0
Jun-16,-2.186.030,0,-169.663,-1.672.715,0,-4.087.439,-4.087.439,-24,-1.276.973,-998.982,-663.051,-505.601,-111.414,-82.070,-616.480,-269.449,-1.243.155,-101.650,-106.657,0,-4.280,-4.280,-59.670,-448.598,-522.123,-3.001,-21.362,0,0,-154.000,-123.133,-158.059,0,-2.161.000,-5.183.676,-1.671.923,-222.515,-69.662,-101.873,-227.913,0,0,-156.061,-115.786,0,0,-215.769,-71.489,-139.395,-2.787.619,0,-335.343,-151.813,-544.212,-917,-460.262,-97.769,-441.085,-2,-268.954,-292.977,-115.086
Set-16,-4.345.803,0,-385.255,-3.342.078,0,-5.260.486,-5.260.486,-30,-2.010.532,-998.985,-1.123.426,-506.007,-111.453,-82.078,-1.328.124,-442.140,-1.243.155,-101.650,-106.657,0,-4.956,-4.956,-87.284,-535.675,-522.134,-4.847,-53.127,-51.652,-30.576,-153.962,-123.133,-316.109,-60.000,-2.789.000,-7.533.031,-1.672.270,-330.503,-106.443,-116.873,-233.938,0,0,-156.061,-115.786,0,0,-215.769,-71.492,-139.399,-3.228.823,-53,-335.343,-151.813,-742.747,-1.070.594,-460.285,-141.324,-873.637,-2,-68.595,-524.736,-115.109
Dez-16,-10.330.601,0,-584.075,-3.342.078,0,-5.561.036,-5.561.036,0,-2.530.730,-1.997.984,-1.176.266,-1.280.252,-674.596,-164.033,-4.163.152,-564.518,-1.899.978,-123.852,-106.658,-146.538,-5.790,-5.790,-99.801,-562.261,-1.164.012,-260.467,-384.387,-85.962,-51.371,-171.829,-123.133,-316.108,-60.000,-2.900.000,-7.765.983,-1.677.338,-447.503,-139.487,-116.873,-240.448,0,0,-156.061,-115.786,-239.000,-239.000,-462.943,-153.342,-139.399,-3.234.086,-53,-351.386,-151.814,-931.543,-2.966.384,-460.309,-141.350,-873.270,-3,-1.829.400,-526.730,-535.097
Mar-17,-1.132.019,0,-316.450,-1.704.515,0,-4.451.737,-4.451.737,-33.253,-200.824,-31,0,0,0,0,-630.936,0,-153.198,0,0,0,-327,-327,-29.215,-1.021,-430.609,0,-71.133,-2.029,-2.029,-185.779,-47.364,-378.035,0,-2.233.000,-7.288.445,0,-161.241,-46.708,0,-6.667,0,0,-150.075,0,0,0,0,-67,0,-4.250.960,0,-518.561,0,0,-310,-27,-5.458,-470.752,0,-8.992,-289.316,-1
Jun-17,-1.214.998,0,-457.721,-1.704.594,0,-4.720.677,-4.720.677,-191.902,-929.124,-41,0,-402.882,-270.709,-117.950,-728.508,-313.287,-839.629,-40.032,-35.946,0,-2.418,-2.418,-109.363,-55.142,-838.601,-6.000,-71.133,-2.282,-2.282,-241.337,-109.409,-409.831,-59.999,-2.447.000,-7.567.167,-96.696,-179.820,-86.599,-102.207,-239.003,-21.641,0,-282.390,-81.341,-410.000,-410.000,-137.318,-85.198,-765.933,-4.811.109,0,-518.561,-165.493,-352.875,-671,-144.474,-47.946,-480.477,-3.643,-4.659.610,-291.789,-87.423
Set-17,-3.864.792,0,-539.298,-3.285.620,0,-6.110.256,-6.110.256,-191.960,-1.772.050,-42,0,-402.882,-268.723,-167.936,-2.065.145,-521.205,-839.629,-40.032,-35.946,-105.014,-8.716,-8.716,-138.570,-398.262,-838.610,-6.070,-130.071,-36.023,-22.956,-248.284,-109.409,-409.828,-120.000,-3.078.000,-10.089.058,-96.696,-356.910,-125.830,-115.007,-245.989,-21.641,0,-282.390,-81.343,-479.000,-479.000,-237.318,-85.215,-765.933,-5.464.762,0,-,-165.493,-422.762,-1.304.161,-145.835,-47.970,-940.151,-25.505,-4.659.610,-550.384,-87.433
Dez-17,-8.819.754,0,-779.143,-3.285.628,-41.024,-6.397.874,-6.397.874,-191.962,-2.623.783,-998.893,0,-1.334.249,-539.632,-259.870,-4.907.002,-692.357,-1.239.363,-80.968,-35.946,-235.014,-381.436,-381.436,-173.043,-425.381,-838.621,-263.917,-130.071,-86.386,-92.872,-254.892,-109.409,-409.827,-120.000,-3.190.000,-10.727.932,-101.743,-548.051,-166.866,-115.007,-253.337,-32.369,-12.770,-282.390,-81.341,-538.000,-538.000,-237.317,-170.847,-765.933,-5.915.637,0,-,-165.493,-608.319,-3.668.583,-332.658,-76.480,-940.250,-25.505,-4.667.210,-548.502,-87.433
Mar-18,-1.099.721,0,-460.698,-1.912.009,0,-4.487.310,-4.487.310,-287.970,-903.226,-34,0,-1,-263,0,-1.425.611,0,-36.291,0,0,0,0,0,-58.468,-16.191,-1.356.539,-9.537,-41.406,-55.150,-35.549,0,-67.086,-581.291,0,-4.531.000,-14.599.529,-1.414,-174.015,-42.745,0,-6.910,0,0,0,-165.914,0,0,-150.000,-61,0,-4.453.220,-502.002,-2.569,0,0,-367,-12,-139,-488.115,0,-5.010.756,-326.293,0
Jun-18,-1.146.322,0,-719.998,-1.912.009,0,-4.793.024,-4.793.024,-719.392,-1.714.170,-1.499.776,0,-449.360,-393,-67.214,-3.184.948,-329.106,-754.322,-12.237,0,-207.447,-6.045,-6.045,-127.251,-74.969,-1.989.940,-7.957,-245.644,-171.723,-146.760,-214.694,-201.652,-599.217,-59.998,-4.647.000,-14.851.252,-131.381,-323.000,-84.726,-101.733,-279.240,-114.273,-77.696,-310.097,-206.262,-903.000,-903.000,-354.874,-87.175,-653.393,-5.012.880,-502.002,-453.611,-183.734,-413.169,-649,-100.580,-20.940,-488.055,-123.287,-5.030.946,-290.048,-100.839
Set-18,-3.684.846,0,-1.160.921,-3.484.849,0,-6.166.259,-6.166.259,-719.402,-2.695.187,-1.499.890,0,-449.361,-396,-69.939,-6.320.615,-506.697,-905.237,-12.237,-200.000,-207.447,-10.674,-10.674,-139.710,-448.142,-1.989.944,-7.957,-303.210,-378.343,-344.005,-219.493,-201.652,-616.448,-120.000,-6.518.000,-19.801.309,-131.401,-507.855,-127.718,-101.733,-279.240,-114.273,-307.781,-310.210,-316.252,-1.826.000,-1.826.000,-354.874,-87.178,-653.393,-5.616.073,-502.002,-462.699,-185.494,-577.518,-2.003.224,-359.981,-20.863,-790.719,-123.291,-13.039.853,-604.308,-100.841
Dez-18,-8.814.129,0,-1.528.859,-3.485.559,-70.000,-6.483.196,-6.483.196,-719.416,-4.206.516,-1.499.900,0,-1.300.611,-508.765,-109.986,-7.252.684,-638.867,-1.045.257,-72.589,-430.000,-401.825,-64.499,-64.499,-139.650,-522.300,-1.989.966,-335.455,-303.210,-599.099,-567.781,-219.493,-201.652,-632.995,-120.000,-6.644.000,-20.249.433,-135.096,-849.416,-172.314,-101.733,-287.651,-114.273,-461.173,-455.742,-301.065,-3.046.000,-3.046.000,-354.874,-173.622,-653.393,-6.125.989,-502.002,-462.699,-185.494,-960.204,-4.136.878,-588.247,-51.486,-808.603,-125.469,-13.050.573,-603.957,-500.835
Mar-19,-53.007,0,-419.368,-4.065.557,-10.000,-4.388.804,-4.388.804,-194.666,-2.065.973,-22,0,-1.159,-2.066,-39.980,-,0,-2.229,-21,0,0,-132,-132,-7.304,-3,-1.535.144,-211,-34.960,-166.420,-149.245,-7.371,-96.277,-560.275,-37.502,-6.541.000,-17.096.760,0,-272.638,-49.343,0,-8.727,0,0,0,0,0,0,0,-1.219,-21,-4.419.230,0,-16.074,0,0,-271,-342.958,-2.103,-380.587,0,-237.397,-335.833,-4
Jun-19,-63.404,0,-812.217,-4.065.603,-135.228,-4.745.360,-4.745.360,-379.641,-3.698.552,-2.475,0,-607.778,-78.707,-64.918,-,-133.535,-634.450,-3.839,0,0,-10.368,-10.368,-7.304,-102.033,-1.535.056,-,-252.264,-297.624,-275.041,-209.397,-152.979,-581.751,-75.001,-6.710.000,-17.596.743,-9.867,-475.002,-125.722,-103.615,-394.946,-182.000,-491.377,-164.009,-129.528,-4.281.000,-4.281.000,-184.962,-93.597,-739.990,-5.317.302,-1.151.195,-440.274,-214.933,-153.917,-564,-342.986,-13.627,-380.573,-190.917,-288.345,-335.862,-153.160
Set-19,-227.032,0,-1.412.378,-5.860.133,-831.628,-5.125.978,-5.125.978,-379.677,-5.577.849,-2.471,0,-607.812,-78.974,-135.283,-,-188.610,-787.317,-3.839,-300.000,0,-11.569,-11.569,-7.304,-517.708,-2.260.648,-134.856,-252.264,-416.219,-392.104,-209.150,-152.979,-602.828,-112.501,-9.739.000,-25.476.564,-10.407,-670.208,-201.225,-129.885,-401.934,-182.000,-903.294,-164.009,-129.528,-5.477.000,-5.477.000,-366.581,-93.646,-739.990,-6.168.340,-1.821.194,-440.274,-214.933,-402.649,-2.653.518,-405.763,-17.792,-596.479,-,-683.611,-681.304,-153.160
Dez-19,-7.871.338,0,-,-5.860.139,-,-17.751.148,-17.751.148,-,-7.121.003,-,-,-,-,-,-,-,-945.171,-,-,0,-,-,-,-549.164,-2.260.825,-,-307.466,-484.173,-456.154,-,-,-,-150.000,-10.071.000,-26.142.218,-,-965.348,-,-126.215,-409.081,-182.000,-2.075.044,-,-225.306,-8.038.000,-8.038.000,-,-186.601,-,-7.010.117,-,-439.275,-214.932,-,-6.176.842,-866.788,-49.898,-596.436,-255.464,-695.071,-680.924,-
