CODIGOS,ABEV3,BTOW3,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,HGTX3,CIEL3,COGN3,CSAN3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,FLRY3,GGBR4,GOAU4,GOLL4,NTCO3,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN11,RENT3,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,PETR3,PETR4,QUAL3,RADL3,SBSP3,SANB11,CSNA3,SMLS3,SULA11,TAEE11,VIVT4,TIMP3,TOTS3,UGPA3,USIM5,VALE3,WEGE3,YDUQ3,IBOV
01/01/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02/01/2015,13.726780689,21.227219053,7.9468944971,19.858552801,9.2546739742,14.155647426,13.984102946,10.48797511,17.139066278,13.48689217,60.02693037,11.660327807,9.1771673193,15.172647719,18.237533188,13.185256397,23.337336418,13.419648541,8.4199701634,8.7773076999,5.5162937572,6.9710613841,23.961097666,6.8977201714,19.112784383,5.0483794528,6.5526279778,8.3635533434,9.9723381198,14.99,13.648680784,13.537363878,21.923169117,4.5781139837,13.536756122,9.9101308586,11.804204699,9.7512927748,13.583287649,11.579869989,0.88250071348,5.66,4.6539834822,13.361068007,8.765336148,8.6916857809,16.644559733,23.737369653,14.892140849,9.2744787801,4.5212256769,35.083752827,9.2243868043,10.950658741,32.40431841,10.364573255,32.494859143,22.124162118,4.5852979812,17.994934589,10.765333479,17.292320435,48512
05/01/2015,13.426694915,20.397050413,7.7126702382,19.232881298,9.1585839135,13.981169879,14.012944642,10.288057696,16.783421194,12.673495456,58.887789523,11.327628237,8.9405684744,14.749045879,17.617677453,12.347814436,21.952206739,13.243074218,8.6375196318,8.1591874394,5.4090866347,6.900735418,23.43077156,6.7001909569,19.136228461,4.9162036999,6.2782366812,8.0055087985,9.4469931357,14.85,13.500618172,13.386855817,21.713072079,4.5930914558,13.604780022,9.9663319788,11.564651209,9.2737237665,13.09989663,11.257952655,0.89908461951,5.22,4.5703018982,13.403330761,8.0543699938,7.9952365997,16.725449182,23.471511113,14.892140849,9.2598962663,4.3507826455,34.880284501,9.0347406941,11.021118743,32.278231568,10.133657313,31.49641375,21.578263921,4.3076912141,17.724334068,10.702945842,16.304187839,47516
06/01/2015,13.812519482,20.522541022,7.7879566071,19.982383619,9.3267415197,14.354001076,14.473923607,10.695581656,17.017995611,12.402363219,59.418745003,11.493978022,8.8617021927,14.479481072,17.264130108,11.269830636,21.08755003,13.066499895,8.8792412632,8.0932546116,5.4578171449,7.1205040619,23.006510676,6.715993294,19.523055744,5.1089600063,6.1881380465,8.8960298461,10.433167053,15.21,13.437803731,13.169455286,22.325093884,4.6280388908,13.824857346,9.7508943515,11.928111676,9.5513801667,13.559118098,11.387634993,0.88723897234,5.12,4.6539834822,14.067459763,7.8498454837,7.7352289054,17.111229632,23.870298923,15.051699501,9.2598962663,4.6468152791,34.734949982,8.8450945838,11.126808747,31.991033761,10.071487636,29.771826254,21.442881169,4.5182894512,18.434660434,10.540044788,15.135681832,48000
07/01/2015,14.155474652,20.339131671,8.1225626912,19.747756805,9.6330285883,14.987814111,15.049127448,11.141551272,17.767120362,12.394616583,62.073522399,12.357412622,8.9262291504,14.787555137,17.424833447,11.278739593,21.398154867,12.951726585,9.112905507,8.6948916652,5.6527391858,7.3842264346,22.832949405,6.9925341944,20.015381376,5.0850949398,6.1430887291,9.5662157891,11.152060189,14.55,14.012107196,14.005611177,22.379901807,4.8027760658,14.325033082,9.9663319788,12.018976793,9.7318568268,13.776644057,11.581395664,0.91803765496,5.31,4.84709483,14.490087309,8.2296767168,8.0509525342,16.800116366,24.496965482,15.078292609,9.7775755064,5.1491736876,34.45154767,8.7995795173,11.062220412,32.586443849,10.240233902,29.327064215,22.010615293,4.7863235712,19.111161734,10.522714888,14.861200555,49462
08/01/2015,14.212393217,19.653759887,8.0389111702,19.656513045,9.6810736187,15.020954661,15.126637185,11.149240403,17.827655696,12.425603125,60.963342761,12.499998152,8.790005573,15.003206983,17.906943463,12.080545726,21.658391352,12.492633345,9.1854219964,8.6701668548,5.5455320633,7.1996207737,22.177273493,7.1900634089,20.220517057,5.0483794528,6.0611808794,9.382603202,10.976945194,14.27,13.908912042,14.022334295,22.736153305,4.8527009729,14.549111812,10.022533099,12.010716327,9.4680832466,13.534948547,11.595126735,0.90974570195,5.45,4.8728430097,14.348205205,8.7848146728,8.5245379774,16.569892549,24.686864439,15.211258153,9.6244591115,5.0235840855,34.734949982,8.7237210732,11.167910415,32.922675427,10.657658874,29.998745661,21.940740324,4.5470073926,19.314112124,10.657888103,15.331739887,49943
09/01/2015,14.203769192,19.547575526,7.8632429761,19.096015657,9.6090060732,14.494848417,14.469844147,11.026214302,17.055830194,12.154470887,59.64078093,12.31780553,8.4817101084,14.633518105,18.283448428,11.884548671,20.986813326,12.360202603,8.6939213458,8.447643561,5.4285788388,6.6985482656,21.984427637,6.8898190028,18.667346906,4.7821921726,6.040703917,8.868487958,10.322568109,14.05,13.65316753,13.796572204,22.58086419,4.6829562887,13.912888275,9.7696280582,12.035497723,9.5097317066,13.104704645,11.183194601,0.88842353706,5.5,4.6604205271,14.429711946,9.0477747572,8.7288297372,16.619670671,24.354541264,14.856683371,9.3328088354,4.8351996823,34.153611907,8.6782060067,10.909557073,32.292241217,10.320166343,29.690135267,21.617568592,4.3651270969,18.899755078,10.595500466,14.931781455,48840
12/01/2015,14.471113967,19.209716196,7.5788278046,19.552234461,9.4288372093,14.250436855,14.212838175,11.026214302,16.760720444,12.386869948,60.133121466,12.198984255,8.2020932916,14.109792193,17.828887555,10.886745484,19.677236174,11.874623215,8.5005440406,8.2992946984,5.4285788388,6.8128279604,22.090492858,6.8661154971,18.139855157,4.7619986548,5.9792730297,8.6573334828,10.092153642,14.25,13.590353089,13.721318174,22.452979037,4.6030764372,13.576770181,9.8351960317,12.035497723,9.5958051907,12.98373814,11.335762058,0.88842353706,5.35,4.5445537184,14.278773536,8.5413331131,8.2738162722,16.800116366,24.971712875,14.652802871,9.2307312387,4.7993169388,34.91661813,8.5644183405,10.968273741,32.845622357,10.391217403,31.051651712,21.399209313,4.1928194483,19.144986799,10.536578808,13.394686305,48139
13/01/2015,14.419369817,19.325553681,7.612288413,19.076463422,9.3627752925,14.105446945,14.257712234,11.080038222,16.662350527,12.255177147,58.627138652,12.476233897,8.3168078831,13.863332941,17.20903182,11.581644132,20.818918819,12.263086726,8.5005440406,8.2828114915,5.3798483286,6.9095261638,21.810866366,6.8582143285,18.292241662,4.7619986548,5.9424144973,8.3543727141,9.7695733891,13.69,13.500618172,13.604256349,22.032784962,4.6180539094,13.560764557,9.507356164,11.936372141,9.5374973467,13.24986445,11.297620194,0.87894701933,5.19,4.6089241677,14.490087309,8.5997686874,8.3573901739,16.370780058,24.952722979,13.828416502,9.0849061007,4.5391670487,34.575082011,8.5871758738,11.156167082,33.483061392,10.337929108,30.407200595,21.504021767,4.0396570941,19.035055338,10.595500466,13.59074436,48041
14/01/2015,14.376249692,19.026306846,7.6708444777,18.54203568,9.5489497852,14.271149699,14.408652249,10.24961204,16.783421194,11.519246787,59.64078093,12.721797866,8.3598258549,14.017369974,17.378918207,11.465827691,21.053971128,12.157142132,8.4683144897,8.4888515783,5.4968015531,7.1117133161,20.634506642,6.9688306887,19.282753947,4.8115645622,5.9465098898,7.9871475398,9.327177613,13.78,13.419856748,13.529002319,22.005381001,4.6430163629,13.652796893,9.4886224573,11.59769307,9.6763255468,13.290186618,11.198451347,0.87065506632,4.82,4.5188055387,14.550462673,8.2783730287,8.1159544578,16.862339019,24.829288657,13.659993481,9.2161487249,4.3776947031,34.880284501,8.8754379614,11.314702088,33.391998673,10.355691873,30.180281187,21.508388952,3.9152126812,17.504471146,10.7445376,13.802487059,47645
